listing_id,date
157612,2012-02-13
157612,2012-02-14
157612,2012-05-07
157612,2012-06-15
157612,2012-06-22
157612,2012-07-01
157612,2012-07-02
157612,2012-07-03
157612,2012-07-30
157612,2012-08-14
157612,2012-08-18
157612,2012-08-26
157612,2012-09-29
157612,2012-12-18
157612,2012-12-20
157612,2012-12-31
157612,2013-04-29
157612,2013-05-13
157612,2013-05-20
157612,2013-05-23
157612,2013-06-11
157612,2015-12-01
157612,2015-12-07
157612,2015-12-15
157612,2016-02-29
157612,2016-03-10
157612,2016-03-15
157612,2016-05-01
157612,2016-05-22
157612,2016-06-01
157612,2016-06-11
157612,2016-06-20
157612,2016-07-10
157612,2016-07-25
157612,2016-08-08
157612,2016-08-18
157612,2016-09-19
157612,2016-09-25
157612,2016-10-03
157612,2016-12-04
157612,2016-12-14
157612,2016-12-17
157612,2017-01-30
157612,2017-04-24
157612,2017-04-30
157612,2017-05-07
157612,2017-05-12
735851,2013-09-30
157612,2017-05-15
157612,2017-05-22
157612,2017-05-28
157612,2017-06-05
157612,2017-06-12
157612,2017-07-07
157612,2017-07-20
157612,2017-07-27
157612,2017-08-11
157612,2017-08-27
157612,2017-09-01
735851,2013-10-21
735851,2013-11-02
735851,2014-07-04
735851,2014-08-21
735851,2014-09-21
735851,2014-09-29
735851,2014-10-05
735851,2014-10-12
735851,2014-11-05
735851,2014-11-09
735851,2014-11-30
735851,2014-12-03
735851,2015-05-17
735851,2015-06-02
735851,2015-06-08
735851,2015-06-14
735851,2015-06-23
735851,2015-07-19
735851,2015-07-27
735851,2015-09-06
735851,2015-09-19
735851,2015-09-27
735851,2015-10-01
735851,2015-10-04
735851,2015-10-11
735851,2015-10-26
735851,2015-11-01
735851,2015-11-08
735851,2016-02-25
157612,2017-09-13
157612,2017-09-24
157612,2017-12-17
157612,2018-04-08
157612,2018-04-15
157612,2018-05-06
157612,2018-06-11
157612,2018-06-15
157612,2018-06-21
157612,2018-07-12
157612,2018-07-19
157612,2018-08-07
157612,2018-08-14
157612,2018-08-19
157612,2018-08-25
157612,2018-09-15
157612,2018-09-27
157612,2018-10-03
157612,2018-12-17
735851,2016-02-28
157612,2019-02-10
157612,2019-02-14
157612,2019-02-23
157612,2019-05-10
157612,2019-05-31
157612,2019-06-10
157612,2019-06-19
157612,2019-06-23
157612,2019-07-10
735851,2016-03-13
157612,2019-07-17
735851,2016-03-27
735851,2016-05-05
735851,2016-07-26
735851,2016-08-05
735851,2016-08-29
735851,2016-09-01
735851,2016-09-10
735851,2016-09-12
735851,2016-10-09
735851,2016-10-30
735851,2016-11-06
735851,2017-03-18
735851,2017-03-26
735851,2017-04-03
735851,2017-07-07
735851,2017-08-27
735851,2017-10-01
735851,2017-10-15
735851,2017-10-29
735851,2017-11-04
735851,2017-11-06
735851,2017-11-26
735851,2018-04-08
735851,2018-06-10
735851,2018-06-17
735851,2018-06-29
735851,2018-08-27
735851,2018-10-01
157612,2019-07-23
157612,2019-07-29
157612,2019-08-24
157612,2019-09-15
157612,2019-09-26
157612,2019-09-29
157612,2019-11-24
157612,2019-12-01
157612,2019-12-08
157612,2021-10-24
157612,2021-10-31
157612,2021-11-08
157612,2021-11-19
157612,2022-03-06
157612,2022-03-13
157612,2022-03-18
157612,2022-03-29
157612,2022-04-05
735851,2018-10-28
735851,2019-05-26
735851,2019-06-07
735851,2019-06-16
735851,2019-12-01
735851,2021-05-03
735851,2021-05-09
735851,2021-06-02
735851,2021-06-28
735851,2021-09-05
