id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4070469,Cute Single Room Available,21029549,Ejike,Manchester,Gorton North,53.46072,-2.17283,Private room,28,2,75,2022-11-13,0.76,5,270,15,
4097769,Cosy Single Room - Canal Views with WiFi,21254433,Sheela,Salford,Salford District,53.47064,-2.29509,Private room,20,2,7,2017-09-29,0.09,1,0,0,
4110637,Cosy single room - Parking included,14728896,Matt,Tameside,Tameside District,53.48536,-2.13462,Private room,25,1,97,2019-08-03,0.96,1,213,0,
4194441,"Day rental of 2 acre garden (e.g. filming, picnic)",1936854,William,Salford,Salford District,53.52032,-2.38818,Shared room,286,1,1,2022-06-18,0.16,4,180,1,
4230825,Double room in modern house. New,4274481,Adel,Manchester,Rusholme,53.45143,-2.22631,Private room,47,3,4,2015-12-01,0.04,8,365,0,
4275850,Double room with stunning views,3316046,Claud,Manchester,Hulme,53.471436,-2.258522,Private room,53,4,201,2022-11-07,2.06,1,363,7,
4313136,Superb Victorian home - Didsbury Village,19163709,Kerstin,Manchester,Didsbury East,53.41901,-2.22602,Entire home/apt,434,2,25,2017-12-29,0.25,1,342,0,
4443387,Basement accommodation,6201208,Tyra,Manchester,Withington,53.43234,-2.22241,Entire home/apt,54,2,36,2021-10-10,0.37,3,325,0,
4468181,Double Room in shared apartment,23182584,Michael,Salford,Salford District,53.48526,-2.34232,Private room,100,2,4,2017-01-20,0.05,1,364,0,
4479762,Old Trafford Bunkhouse - Sir Matt Busby Way - MUFC,23146906,Duncan,Trafford,Trafford District,53.46175,-2.28853,Entire home/apt,69,1,189,2022-12-04,4.12,1,312,65,
4487272,"Great Flat Castlefield, Manchester City Centre",17702198,Evadne,Manchester,Hulme,53.47326,-2.26194,Entire home/apt,51,28,3,2022-01-19,0.13,4,34,1,
4567126,Warm bedroom close city cente,23673949,Jana,Salford,Salford District,53.48791,-2.26518,Private room,25,1,409,2022-12-13,4.16,1,23,88,
4618417,Well Located Simple Double Room,10222609,Aisling,Salford,Salford District,53.47562,-2.27599,Private room,36,2,109,2022-12-07,1.11,1,98,23,
4635584,"Modern,spacious, car park,2 toilets",4274481,Adel,Manchester,Rusholme,53.45245,-2.22717,Entire home/apt,106,1,6,2017-01-01,0.06,8,365,0,
4791845,City Centre 2 BedApartment with Parking COOP NOMA,17473725,Andy,Manchester,Ancoats and Clayton,53.48717,-2.2356,Entire home/apt,136,2,603,2022-12-11,6.16,7,6,63,
4884152,"Hall Moss Farm, charming serviced holiday cottage.",6649185,Stewart,Stockport,Stockport District,53.35053,-2.18034,Entire home/apt,95,5,80,2022-11-27,0.89,2,314,16,
4992945,Charming Apartment in Vibrant West Didsbury,25742397,Raff,Manchester,Chorlton Park,53.42736,-2.24777,Entire home/apt,55,5,37,2022-09-17,0.64,1,0,4,
5000513,Motorhome near city centre and airport.,1560767,Dave,Manchester,Moss Side,53.45145,-2.23948,Entire home/apt,30,1,76,2022-10-17,1.19,1,53,13,
5121973,"Peaceful Attic-Room, 2, Chorlton",4917842,Gwyn,Manchester,Chorlton,53.43981,-2.28344,Private room,34,3,63,2019-12-16,0.67,4,301,0,
