id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37798510,Large flat near Piccadilly,302759597,Adam (Beehosting Property Mgmt),Manchester,City Centre,53.47526,-2.23863,Entire home/apt,104,3,108,2022-12-13,2.72,26,84,41,
37806678,Double Room 3.7 miles to Piccadilly Station.,80883858,Ann,Manchester,Miles Platting and Newton Heath,53.49918,-2.17715,Private room,39,1,84,2022-11-28,2.06,2,108,28,
37809851,Deluxe City Centre Two Bedroom Apartment - Ancoats,28633762,Book My Place,Manchester,Ancoats and Clayton,53.48307,-2.22936,Entire home/apt,139,2,43,2022-11-15,1.05,18,45,9,
37873832,Luxury 1 bed perfect for airport & city transport,90595989,Max,Stockport,Stockport District,53.3962,-2.13842,Entire home/apt,73,4,74,2022-12-09,1.82,4,362,16,
37877181,Apartment with Fantastic transport links.,53462134,Adam & Gemma,Manchester,Brooklands,53.40441,-2.29337,Entire home/apt,59,2,98,2022-11-20,2.59,1,187,47,
37878382,The Pantry Double Room,152789738,Sidnie,Trafford,Trafford District,53.4573,-2.2696,Private room,30,1,44,2022-11-28,1.10,2,40,22,
37881380,The Pantry Attic,152789738,Sidnie,Trafford,Trafford District,53.45879,-2.26936,Private room,30,1,131,2022-12-11,3.26,2,52,83,
37892767,Master Bedroom with Ensuite near Victoria Station,176620064,Danilo,Manchester,Ancoats and Clayton,53.4894,-2.23812,Private room,63,30,17,2022-11-09,0.42,1,77,2,
37901794,City Centre Luxury apartment with Rooftop Pool,286641110,Joseph,Manchester,Ancoats and Clayton,53.4878,-2.23277,Entire home/apt,399,365,1,2019-10-02,0.03,2,89,0,
37905680,"One Bedroom + Bedeck sleeps 4, City Centre Apt",277197831,Dominic,Manchester,City Centre,53.47462,-2.23822,Entire home/apt,119,1,71,2022-12-04,1.83,1,93,34,
37911654,STAR,270116518,Antonio,Manchester,Rusholme,53.45448,-2.22926,Private room,20,1,28,2020-03-15,0.69,2,148,0,
37924439,Home Away from Home.,237047398,Clare,Manchester,Charlestown,53.5258,-2.20382,Private room,28,1,0,,,1,85,0,
37929584,Great Location,257618363,Ismael,Trafford,Trafford District,53.36415,-2.30752,Private room,64,1,61,2022-12-14,1.53,1,174,45,
37960465,Quiet comfortable room with private shower.,63331008,Jim,Manchester,Levenshulme,53.44249,-2.19388,Private room,34,1,42,2022-12-19,1.08,1,82,24,
37965751,Double room to rent near Altrincham,62518909,Amy,Trafford,Trafford District,53.39863,-2.35064,Private room,32,1,39,2022-10-28,0.97,2,0,30,
37969220,Double room ideal for gay village easygoing host,10100537,Simon,Manchester,Ancoats and Clayton,53.48254,-2.2298,Private room,57,2,61,2022-12-18,1.51,1,47,28,
37990755,The Bridgwater apartment at 60 Manchester Road,213890868,Lisa,Trafford,Trafford District,53.39523,-2.3522,Entire home/apt,232,2,6,2022-11-06,0.38,9,357,5,
38023227,"Private Bedroom (Dbl Bed), Limited Parking/WiFi",52978368,Michelle,Salford,Salford District,53.51095,-2.24943,Private room,35,2,58,2022-11-24,1.43,3,49,15,
38035129,Alban 2,288602984,Austin,Salford,Salford District,53.49723,-2.26037,Private room,70,1,36,2020-12-31,0.89,3,251,0,
38070969,Smart apt for 4 nr Mcr & Salford. Fantastic area.,279057543,Benjamin,Salford,Salford District,53.5155,-2.27135,Entire home/apt,71,1,126,2022-11-28,3.55,1,121,54,
38145762,Town House Apartment in the buzz of Marple Bridge,62979839,Jane,Stockport,Stockport District,53.40161,-2.05386,Entire home/apt,119,1,54,2022-12-15,1.37,2,291,25,
38180366,Park Drive Shared near Trafford Shopping Centre 1,4949917,My-Places,Manchester,Whalley Range,53.4485,-2.2687,Private room,130,5,1,2019-10-20,0.03,31,359,0,
38181713,Park Drive Shared - End of Year Monthly Discount 2,4949917,My-Places,Manchester,Whalley Range,53.44902,-2.26865,Private room,164,5,1,2019-09-22,0.03,31,362,0,
38181882,Park Drive Shared close to Imperial War Museum 3,4949917,My-Places,Manchester,Whalley Range,53.45017,-2.26702,Private room,164,5,0,,,31,364,0,
38205769,"Spacious, situated close enough to  centre",267031273,Farhan,Manchester,Bradford,53.47421,-2.15763,Private room,100,1,0,,,1,0,0,
38252548,Quiet place by Manchester Intl. Airport & UHSM NHS,290700762,Della,Manchester,Baguley,53.39947,-2.27479,Hotel room,41,2,21,2022-12-05,0.52,2,90,8,
38324249,Modern Home. Spacious GARDEN. Near City. NETFLIX,291536154,Jamie,Manchester,Ardwick,53.46764,-2.21265,Entire home/apt,686,1,82,2022-06-23,2.05,1,358,16,
38327868,Cheerful-room with fab double bed in ChorltonGreen,21419082,Yasemin,Manchester,Chorlton,53.43741,-2.28245,Private room,40,2,2,2022-09-19,0.56,1,0,2,
38328129,No 2 Decent Home (Double room),219344708,Dc,Tameside,Tameside District,53.47891,-2.09552,Private room,49,3,40,2022-08-31,1.01,7,118,13,
38330000,No 1 Decent Home (double room),219344708,Dc,Tameside,Tameside District,53.47748,-2.095,Private room,45,3,40,2022-03-29,1.01,7,145,4,
38335767,Peace and quiet yet 5 mins from the city,141088082,Breffni,Bury,Bury District,53.52415,-2.26658,Private room,95,1,0,,,1,179,0,
38336033,Comfortable bedroom in private house route to city,159673072,Adam,Manchester,Burnage,53.43301,-2.19758,Private room,69,1,14,2022-12-04,0.57,2,90,6,
38365948,Quite cosy place near airport and motorway,166233830,April,Trafford,Trafford District,53.37001,-2.36696,Private room,40,1,3,2019-10-08,0.07,8,365,0,
38366609,Sark house  1 bed Apartment Chorlton  manchester,162738733,Steven,Manchester,Chorlton,53.44662,-2.283,Entire home/apt,73,1,11,2022-12-11,0.28,1,53,2,
38369846,Safari House - The Ultimate Relaxation Destination,292162460,Sermed,Manchester,Longsight,53.45667,-2.2147,Entire home/apt,273,5,82,2022-10-15,2.05,1,74,6,
38408449,Spacious 2 bed with patio & free parking,189812275,Helia,Stockport,Stockport District,53.39642552815011,-2.1505365148186684,Entire home/apt,144,1,11,2022-12-16,1.67,1,88,11,
38422682,Modern Central Manchester 4 Bed - 3 Bathroom House,213891848,Stewart,Manchester,Hulme,53.46323,-2.25696,Entire home/apt,187,2,309,2022-12-20,7.73,1,260,142,
38428583,Heart Of Chorlton (K) - My-Places,4949917,My-Places,Manchester,Chorlton,53.4444,-2.27789,Entire home/apt,729,1,2,2022-09-18,0.42,31,364,2,
38465743,MCR -2Bed 2Bath Gated-parking luxury APTCanalView,51956910,Shahid Home Sweet Home,Manchester,Bradford,53.48512,-2.1982,Entire home/apt,135,3,18,2022-12-08,0.69,4,121,8,
38469274,Stylish modern spacious Very Central  2 Bed 2 Bath,197866692,Ian,Salford,Salford District,53.48607,-2.24978,Entire home/apt,115,1,270,2022-12-21,6.85,1,233,107,
38477920,1st Single bed  bedroom C,256525280,Kamal,Manchester,Moss Side,53.45487,-2.24283,Private room,29,15,46,2022-09-17,1.15,3,324,16,
38515667,Mabus Lodge,293726818,Murphy,Manchester,Miles Platting and Newton Heath,53.49877,-2.17826,Private room,49,1,15,2022-11-27,0.38,1,311,9,
38518388,"Grd floor annex; Hale, nr Man. A/port /Wyth. Hos.",293461098,Val,Trafford,Trafford District,53.3726,-2.31779,Entire home/apt,58,2,96,2022-12-12,2.47,1,15,55,
38520273,Plas St Boniface,214375830,Mary,Salford,Salford District,53.49674,-2.26933,Entire home/apt,94,2,12,2022-09-16,0.30,7,4,1,
38536535,"Pet friendly studio for 1 or 2 in Sale, Manchester",17136758,Mike,Trafford,Trafford District,53.42409,-2.31324,Entire home/apt,79,7,26,2022-12-18,0.65,10,306,9,
38541346,Double room homestay Hyde,293968980,Lisa,Tameside,Tameside District,53.45111,-2.08234,Entire home/apt,80,1,4,2022-10-30,0.25,1,180,2,
38550141,"Beautiful 2 bedroom suite, near Metro, Tesco",294067090,Lilac,Manchester,Burnage,53.41936,-2.20856,Private room,208,1,15,2021-06-26,0.38,3,30,0,
38552760,"(3 cozy Bedrooms )V close to Metro,Tesco",294067090,Lilac,Stockport,Stockport District,53.41971,-2.20445,Private room,166,1,14,2022-11-03,0.35,3,26,1,
38552800,"Luxury Living for 10, V close to Tesco, Tram Stop",294067090,Lilac,Stockport,Stockport District,53.42058,-2.20536,Entire home/apt,443,1,38,2022-12-11,0.97,3,85,22,
38567680,Manchester Stays Salford Holiday Apartment,294266974,Tosin,Salford,Salford District,53.48139,-2.2904,Entire home/apt,221,1,67,2022-12-04,1.70,1,124,28,
38596067,No 3 Decent Home (Double room),219344708,Dc,Tameside,Tameside District,53.47887,-2.09554,Private room,49,3,12,2022-10-15,0.30,7,331,5,
38598995,Amazing Central Manchester/Trafford Home for 6!!,294545736,Paramjot,Trafford,Trafford District,53.44921,-2.31,Entire home/apt,170,2,61,2022-12-05,1.55,1,312,31,
38612214,Modern cosy studio apartment.,207136726,Gillian,Salford,Salford District,53.48281,-2.36489,Entire home/apt,70,2,23,2022-11-30,0.59,1,310,8,
38684894,Arty & Cosy 1BR Apt South Manchester,295615583,Christian,Manchester,Whalley Range,53.45377,-2.2561,Entire home/apt,89,2,49,2022-11-21,1.25,1,247,22,
38743645,"Beautiful 4 bedroom Apartment, Stockport. Sleeps 7",238484608,Chrissy,Stockport,Stockport District,53.40438,-2.17547,Entire home/apt,193,1,25,2022-02-20,0.67,2,9,1,
38746417,Home from home in our lovely cosy annex.,83973204,Julie,Bolton,Bolton District,53.60764,-2.39429,Private room,40,2,79,2022-10-14,1.99,1,0,17,
38752008,Samas' studio flat,195601535,Yousif,Manchester,Moss Side,53.45736,-2.22691,Entire home/apt,65,1,4,2021-10-23,0.10,7,0,0,
38789212,"The Cottage, Grotton Hall, Lydgate, Saddleworth",255385401,Lisa,Oldham,Oldham District,53.53994,-2.0436,Entire home/apt,115,2,35,2022-09-22,0.88,1,338,11,
38815350,Women only,232798571,Suzanne,Manchester,Moss Side,53.45769,-2.24738,Private room,50,1,0,,,1,360,0,
38816349,Good size Single room. city center.,148073056,Ghil,Manchester,Ardwick,53.47017,-2.22934,Private room,80,1,3,2022-12-18,0.08,5,90,1,
38836899,3 bedroom flat for students or professionals,240162062,Now Luxury Lettings,Wigan,Wigan District,53.53064,-2.47538,Entire home/apt,60,7,0,,,1,286,0,
38840022,NEW Beautiful! 3 Bed Apt. Sleeps 3-6 people,55933045,Dan - BnBee,Manchester,Longsight,53.45253,-2.19925,Entire home/apt,493,7,27,2022-10-29,0.70,18,311,10,
38888298,Log Cabin,116118499,Laura,Stockport,Stockport District,53.42185,-2.03922,Entire home/apt,190,2,77,2022-12-11,1.97,1,226,19,
38890770,Sportcity Etihad Velodrome Flat,161406591,Richard,Manchester,Bradford,53.48515,-2.19766,Entire home/apt,85,2,24,2022-11-27,0.61,5,217,10,
38898158,"Double room near City Centre, Etihad & AO arena",5931374,Zach,Manchester,Miles Platting and Newton Heath,53.491791,-2.214835,Private room,39,1,101,2022-12-24,2.60,1,84,60,
38916050,Spacious apartment in vibrant Chorlton,18235436,Eleanor,Manchester,Chorlton,53.44059,-2.28656,Entire home/apt,95,6,21,2021-12-18,0.59,1,0,0,
38930282,Heaton Park Terrace,299241534,Grace,Bury,Bury District,53.529846,-2.271443,Entire home/apt,79,1,92,2022-12-12,4.62,2,33,43,
38945019,🌟LuxuryLivingSalfordQuays Manchester🌟FREEPARKING,298277653,Sapphire Stays,Salford,Salford District,53.47471,-2.28302,Entire home/apt,105,1,3,2020-09-13,0.08,1,0,0,
38986918,Double with private bathroom in central manc,117459534,Kieran,Manchester,Bradford,53.47959,-2.21933,Private room,51,1,149,2022-12-18,3.81,2,38,70,
39001179,Cosy House near city centre and football stadium,298853630,Khalid,Manchester,Bradford,53.47636,-2.20837,Entire home/apt,221,1,65,2022-12-23,1.66,1,0,33,
39014483,Modern One Bed Apartment with 24/7 Reception,226638596,Supercity Aparthotels,Manchester,City Centre,53.48327,-2.2382,Entire home/apt,146,1,49,2022-12-08,1.26,6,352,23,
39015969,Whiteoak House,298125660,Kat,Bolton,Bolton District,53.57008,-2.39496,Entire home/apt,118,2,3,2021-12-25,0.08,2,265,0,
39016129,Large Victorian luxury home from home,90272723,Karen,Bury,Bury District,53.52999,-2.28053,Private room,56,1,77,2022-12-16,1.97,1,299,38,
39030368,Large fireplace bedroom in a newly renovated house,26863661,Christoph,Salford,Salford District,53.48288,-2.29687,Private room,34,3,44,2022-12-06,1.13,3,207,13,
39034935,Studio Apartment in Sale,299241534,Grace,Trafford,Trafford District,53.42881,-2.31661,Entire home/apt,72,1,199,2022-12-18,5.06,2,66,44,
39035543,Feel at Home in Manchester,188662896,Wayne,Manchester,Moss Side,53.4522,-2.24265,Private room,38,1,25,2022-12-11,0.64,1,86,13,
39041668,“❤️ of the city”,299213326,Claire,Salford,Salford District,53.486,-2.24587,Entire home/apt,124,1,47,2022-12-18,2.74,1,62,38,
39048878,Stylish and charming apartment in historic village,299277520,Katherine,Oldham,Oldham District,53.56645,-2.02049,Entire home/apt,160,2,81,2022-11-23,2.32,1,314,38,
39062563,Premium En-Suite TV bed in newly renovated house,299096161,Hristina,Salford,Salford District,53.4817,-2.29632,Private room,40,5,23,2022-08-14,0.61,1,348,7,
39063050,Large private bedroom in a newly refurb house,26863661,Christoph,Salford,Salford District,53.4826,-2.29543,Private room,33,5,38,2022-11-17,0.97,3,334,12,
39063948,Private En-Suite TV bedroom in a renovated house,26863661,Christoph,Salford,Salford District,53.4827,-2.29634,Private room,37,5,21,2022-11-20,0.54,3,313,7,
39085630,Selina Manchester NQ1 - Unique Room,299553898,Selina,Manchester,Ancoats and Clayton,53.4827,-2.23329,Hotel room,206,1,1,2021-09-13,0.06,8,271,0,
39134251,Modern 5* City Centre Townhouse 2 Mins from Arena,286641110,Joseph,Salford,Salford District,53.48652,-2.24861,Entire home/apt,147,365,1,2021-07-29,0.06,2,89,0,
39150915,Beautiful house sleeps 16 mins from Manchester,228559791,Omar,Manchester,Withington,53.4408,-2.21628,Entire home/apt,700,1,49,2022-10-17,1.28,2,150,18,
39170313,"Rest & Recharge - Regents Court (3-bed, 2-bath)",2046430,Tom,Manchester,City Centre,53.48122,-2.23709,Entire home/apt,348,2,28,2022-07-17,0.72,34,316,12,
39193161,Quite place by Manchester Airport & UHSM NHS,290700762,Della,Manchester,Baguley,53.39769,-2.27472,Private room,44,2,14,2022-11-22,1.43,2,26,14,
39198819,🏡🚗Nigh to Centre/Arena/Victoria/Secure Parking🚗,271363028,Payam,Manchester,Cheetham,53.49915,-2.24573,Entire home/apt,51,3,65,2022-01-08,1.69,1,0,4,
39200517,"You will love this home! Central,by hospital & Uni",300803199,Rk,Manchester,Moss Side,53.45083,-2.23601,Entire home/apt,130,1,4,2020-03-08,0.11,1,148,0,
39213642,✪ 2 BED Manchester Apt for✯Business/Family,31309286,Tommy,Manchester,Ancoats and Clayton,53.48326,-2.2327,Entire home/apt,139,28,44,2022-06-14,1.13,7,70,4,
39240120,Beautiful New Studio Apartment! Close 2 Uni's+more,55933045,Dan - BnBee,Manchester,Ardwick,53.47092,-2.22368,Entire home/apt,265,1,101,2022-12-21,2.60,18,333,38,
39241834,NEW HOUSE! Great Location! Sleeps up to 7,55933045,Dan - BnBee,Manchester,Ardwick,53.46763,-2.22501,Entire home/apt,593,7,43,2022-09-05,1.14,18,301,18,
39245921,Cozy warm and welcoming (Room 1),244886403,Colin,Trafford,Trafford District,53.456051,-2.26379,Private room,31,1,122,2022-12-10,3.13,2,347,78,
39249886,5 minutes to central Manchester with free parking,301298971,Claire,Manchester,Moss Side,53.45304,-2.24223,Entire home/apt,91,2,53,2022-09-18,1.39,1,213,23,
39255400,Spacious 4 Bedroom House(Leigh/Greater Manchester),57603266,The Welcome Team,Wigan,Wigan District,53.49811,-2.54146,Entire home/apt,414,4,4,2021-05-13,0.11,12,117,0,
39276685,paradise on earth nature and comfort peace & love,160004065,Amilton,Salford,Salford District,53.51307,-2.28009,Entire home/apt,119,7,1,2022-04-17,0.12,1,179,1,
39308590,"city centre, northern quarter room",20078959,Cherry,Manchester,Ancoats and Clayton,53.48564,-2.23559,Private room,150,2,10,2022-11-21,0.26,1,364,5,
39315225,A bright airy fully furnished double room,301857866,Tracy,Bolton,Bolton District,53.59557,-2.44865,Private room,44,1,26,2022-09-16,0.68,4,180,12,
39327546,Cosy three bed house in old Trafford Manchester,3086011,Gertrude,Trafford,Trafford District,53.46458,-2.25958,Entire home/apt,79,2,10,2020-03-15,0.26,6,89,0,
39330354,Beautiful Loft Room 5 min from Mcr City centre,302077968,Alonzo,Trafford,Trafford District,53.4603,-2.27137,Private room,90,1,51,2022-12-04,1.31,4,356,28,
39347515,Home and  away,300360942,Stephanie,Manchester,Higher Blackley,53.52657,-2.23391,Private room,30,2,5,2022-12-04,0.13,1,77,3,
39384508,Large private room in a home in Stretford,172529024,Catherine,Trafford,Trafford District,53.44706,-2.30758,Private room,50,1,5,2022-12-04,1.49,1,12,5,
39385275,1 Bed Converted Mill Apartment,31055763,Oliver,Manchester,City Centre,53.47393,-2.25853,Entire home/apt,173,2,4,2022-11-27,1.64,1,0,4,
39387061,Charming single room with all amenities,301857866,Tracy,Bolton,Bolton District,53.59431,-2.4486,Private room,34,1,36,2022-10-08,0.93,4,154,11,
39412101,Chorlton Shared suitable for Professionals Room 1,4949917,My-Places,Manchester,Chorlton,53.444,-2.27648,Private room,132,1,0,,,31,364,0,
39427722,Stunning Central Northern Quarter Apartment,28305766,City Superhost,Manchester,Ancoats and Clayton,53.48487,-2.2365,Entire home/apt,166,1,116,2022-12-22,3.01,56,14,69,
39430362,Chorlton Shared suitable for Famiy Room 6,4949917,My-Places,Manchester,Chorlton,53.44413,-2.27665,Private room,193,1,1,2022-03-13,0.10,31,364,1,
39435300,Entire Home. Close to Manchester city centre.,194893813,Kevin,Stockport,Stockport District,53.44313,-2.15218,Entire home/apt,130,2,18,2022-11-13,2.38,1,241,18,
39438236,"Studio appartment with kitchenette, sofa, parking.",41442874,Izzy And Marie,Tameside,Tameside District,53.45008,-2.11829,Entire home/apt,68,1,140,2022-12-15,3.72,2,343,60,
39442969,"Spacious flat one bedroom,one bath, living room",302962391,Asad,Manchester,Moss Side,53.45752,-2.24676,Shared room,43,1,42,2020-08-23,1.10,1,117,0,
39461931,Chorlton Shared- Discounted Deal Short Term Room 3,4949917,My-Places,Manchester,Chorlton,53.44263,-2.27501,Private room,157,1,1,2022-06-23,0.16,31,363,1,
39462408,Manchester Airport double bed with shower and (4),184818152,Jules,Manchester,Northenden,53.40711,-2.25678,Private room,30,3,8,2020-03-06,0.21,5,71,0,
39475924,Modern Ground Floor Apartment in Leigh,281354988,Ryan,Wigan,Wigan District,53.50176,-2.53494,Entire home/apt,98,2,110,2022-12-06,2.86,1,92,29,
39477066,Cosy private room close to the town free car P,194640422,Mira,Manchester,Fallowfield,53.44567,-2.23813,Private room,26,6,5,2021-11-18,0.13,3,0,0,
39491252,Room 2 - Airbnb house in Horwich with double bed.,137249317,Michelle,Bolton,Bolton District,53.59933,-2.55149,Private room,30,2,16,2022-11-18,0.42,4,365,6,
39577462,Chorlton Shared Short Stay Room 2,4949917,My-Places,Manchester,Chorlton,53.44261,-2.27659,Private room,132,1,1,2022-05-12,0.13,31,291,1,
39577798,Chorlton Shared - Suitable for Short Stay Room 4,4949917,My-Places,Manchester,Chorlton,53.44225,-2.27727,Private room,148,1,1,2022-06-23,0.16,31,269,1,
39578004,Chorlton Shared-Flexible minimum 1 night  Room 5,4949917,My-Places,Manchester,Chorlton Park,53.4421,-2.27528,Private room,161,1,0,,,31,364,0,
39579139,Private Double bedroom near Manchester city centre,65861679,Harry,Manchester,Miles Platting and Newton Heath,53.49318,-2.21469,Private room,50,2,20,2022-11-20,0.55,1,12,6,
39581861,Copper & Blossom,66054871,Melissa,Manchester,Ancoats and Clayton,53.48597,-2.22975,Private room,568,1,12,2021-09-26,0.32,1,314,0,
39618007,"***Brand New*** Renovated Home in Prestwich, M25",166762195,Gary,Bury,Bury District,53.52078,-2.27598,Entire home/apt,99,2,46,2022-12-11,1.19,4,323,21,
39716540,Luxury 4 bedroom house - Clean & Modern,305253304,Stella,Salford,Salford District,53.51317,-2.27852,Entire home/apt,125,3,34,2022-10-10,0.98,1,194,10,
39723192,SPARE ROOM Manchester SPARE Airport Apartment,184818152,Jules,Manchester,Northenden,53.40759,-2.25725,Entire home/apt,28,2,4,2021-08-20,0.24,5,148,0,
39729077,Spacious Modern Apartment with City View,305356944,Hanan,Manchester,Ancoats and Clayton,53.48595,-2.22651,Entire home/apt,96,5,29,2020-03-19,0.76,1,0,0,
39744293,"United View! 4/BR House, Prime location, Transport",160638456,Kyle,Trafford,Trafford District,53.46216,-2.29027,Entire home/apt,246,2,58,2022-11-14,1.55,5,72,20,
39750342,Spacious apartment close to NQ & City centre,74308612,Cat,Manchester,Miles Platting and Newton Heath,53.49125,-2.21456,Entire home/apt,120,2,35,2022-12-11,0.93,1,94,27,
39763251,Lovely double room in modern home close to nature.,62003232,David & Irma,Stockport,Stockport District,53.43473,-2.13597,Private room,35,2,35,2022-12-04,0.93,1,362,17,
39787021,Classy Flat In Gorton With Free Wifi-Free Parking,271561629,Abiola,Manchester,Gorton South,53.45657,-2.17326,Private room,45,1,2,2019-12-10,0.05,4,0,0,
39836604,Superb Flat In Gorton With Free Wifi-Free Parking,271561629,Abiola,Manchester,Gorton South,53.45647,-2.17214,Private room,45,1,1,2019-11-10,0.03,4,0,0,
39848837,Mosh Aparthotel,91358139,Ade,Tameside,Tameside District,53.47763,-2.15366,Entire home/apt,172,2,39,2022-07-18,1.04,2,27,2,
39852917,Ideal Lodgings Luxury 2 Bed Ground Floor,251509384,Ideal Lodgings,Salford,Salford District,53.51337,-2.27378,Entire home/apt,300,1,1,2022-04-30,0.12,14,356,1,
39852930,Funky 2 Bed Apartment with garden views,251509384,Ideal Lodgings,Salford,Salford District,53.51203,-2.27472,Entire home/apt,300,1,1,2020-03-08,0.03,14,357,0,
39852937,Apartment 3 - 2 bed Ground Floor Apartment,251509384,Ideal Lodgings,Salford,Salford District,53.51188,-2.27465,Entire home/apt,300,1,1,2022-04-17,0.12,14,357,1,
39853030,"Panoramic View Top Floors Studio, Manchester",134730882,John,Salford,Salford District,53.47385,-2.29656,Entire home/apt,102,1,11,2022-11-30,0.30,6,283,6,
39853039,One Bedroom Top Floors - side quay view,134730882,John,Salford,Salford District,53.47395,-2.29754,Entire home/apt,108,1,8,2022-11-19,0.54,6,294,7,
39881369,GuestReady - Lovely Home in Media City right by,402191311,GuestReady,Salford,Salford District,53.4731,-2.29998,Entire home/apt,77,2,30,2022-12-07,0.80,6,337,22,
39886820,Manchester Stays Levenshulme Holiday Apartment,307163238,Temi,Manchester,Gorton South,53.45015,-2.17966,Entire home/apt,180,1,43,2022-11-13,1.14,1,311,13,
39908499,Cosy and relaxing double/single room,306996862,Shamila,Trafford,Trafford District,53.45419,-2.32282,Private room,35,5,2,2022-12-02,1.36,1,362,2,
39920194,Manchester Lounge entire house! Stockport/Airport,160638456,Kyle,Stockport,Stockport District,53.39621,-2.17136,Entire home/apt,191,2,19,2022-06-25,0.50,5,85,1,
39946169,Delux Contractors Apartment City Centre (4),4949917,My-Places,Manchester,City Centre,53.48123,-2.23463,Private room,155,14,0,,,31,357,0,
39957782,Cozy Large Basement 1-2 bed apartment WiFi,152182419,S,Salford,Salford District,53.50529,-2.31811,Entire home/apt,68,14,4,2022-05-16,0.19,7,89,2,
39959274,Large room (with sofa) in quiet houseshare.,1589135,Nick,Trafford,Trafford District,53.452537536621094,-2.3626489639282227,Private room,17,7,2,2020-03-28,0.06,6,20,0,
39972620,Kingfisher narrow boat,170606239,Michael,Oldham,Oldham District,53.53743,-2.01173,Entire home/apt,85,2,213,2022-12-19,5.65,1,316,80,
39978513,★ Large & Stylish Townhouse★King Beds★free parking,253698329,HomesWorth Stays,Salford,Salford District,53.48283,-2.297518,Entire home/apt,337,4,17,2022-12-06,0.49,3,365,6,
39991380,Beautiful 2 bed house in well sought after area,174387736,Ayo,Bolton,Bolton District,53.59165,-2.53746,Entire home/apt,95,7,0,,,2,358,0,
40000139,Newly Refurbished Open Plan Two-Storey Penthouse,80175582,James,Trafford,Trafford District,53.466686,-2.266895,Entire home/apt,195,1,11,2022-12-04,2.20,1,344,11,
40002400,"Private Bedroom + En-Suite in Salford, Manchester",252405732,Sebastian,Salford,Salford District,53.50037,-2.28046,Private room,75,4,22,2022-10-28,0.59,1,89,2,
40009638,Quite house  2 minutes  motorway/airport/ tatton,166233830,April,Trafford,Trafford District,53.36944,-2.36672,Private room,40,1,0,,,8,364,0,
40019268,Spring House (G),10143873,Alison,Manchester,Withington,53.44076,-2.21509,Entire home/apt,151,2,91,2022-12-11,2.42,26,354,26,
40020735,Spring House (F),10143873,Alison,Manchester,Levenshulme,53.44113,-2.21349,Entire home/apt,146,2,65,2022-12-08,1.73,26,343,32,
40021653,"Cosy quite house next to the airport, motorway",166233830,April,Trafford,Trafford District,53.36848,-2.3671,Private room,36,1,1,2019-11-18,0.03,8,365,0,
40027440,A Large house near Manchester City Centre,253608212,Pauline,Manchester,Crumpsall,53.51643,-2.23848,Entire home/apt,175,2,8,2022-06-26,0.52,2,117,2,
40046242,Stylish City Centre 2 Bed Apartment - Free Parking,302759597,Adam (Beehosting Property Mgmt),Manchester,City Centre,53.47678,-2.23626,Entire home/apt,240,3,68,2022-12-07,1.79,26,153,48,
40073194,PICCADILLY STATION - Manchester,2384053,P&O Serviced,Manchester,Bradford,53.48315,-2.21749,Entire home/apt,100,3,0,,,2,293,0,
40107167,"A lovely, clean house very close to Heaton Park!",91674417,Edmund,Bury,Bury District,53.53312,-2.27272,Private room,18,6,31,2022-12-08,0.84,2,1,19,
40122572,3 Bedrooms in Swinton Home. Great location,290136389,Peter,Salford,Salford District,53.50175476074219,-2.3259871006011963,Private room,80,4,3,2020-08-03,0.10,4,106,0,
40135896,Female only close to city great transport links,131819422,Janet,Manchester,Levenshulme,53.43936,-2.20252,Private room,27,1,38,2022-12-13,1.01,1,79,25,
40150468,"MediaCityUK - Modern, Convenient Studio Apartment",309937799,Quayside Experiences,Salford,Salford District,53.47394,-2.29689,Entire home/apt,60,5,22,2022-11-23,0.83,1,5,6,
40151728,Quite house near Tatoon Park own car park spaces,166233830,April,Trafford,Trafford District,53.36957,-2.36517,Private room,40,1,1,2020-01-01,0.03,8,365,0,
40199099,"Spacious, Apartment close to City Centre",299226975,Pillo Rooms,Salford,Salford District,53.47948,-2.28846,Entire home/apt,109,1,122,2022-12-16,3.26,4,357,67,
40199106,Apartment Close to City Centre & Media City,299226975,Pillo Rooms,Salford,Salford District,53.48064,-2.28926,Entire home/apt,137,1,65,2022-12-11,1.73,4,354,30,
40199156,Modern Duplex close to City Centre & Old Trafford,299226975,Pillo Rooms,Salford,Salford District,53.47896,-2.28795,Entire home/apt,114,1,98,2022-12-18,2.65,4,345,76,
40199279,Modern Studio close to City Centre & Deansgate,299226975,Pillo Rooms,Salford,Salford District,53.48041,-2.28944,Entire home/apt,84,2,78,2022-11-21,2.07,4,353,38,
40202653,Large 1bed central conversion with Character,31396453,Michelle,Manchester,City Centre,53.480247,-2.245793,Entire home/apt,141,2,121,2022-12-22,3.27,11,321,77,
40203204,SPRING HOUSE (H),10143873,Alison,Manchester,Fallowfield,53.44119,-2.21563,Entire home/apt,134,2,47,2022-12-11,1.26,26,359,28,
40229660,Iconic Luxury Manchester Apartment w/ Free Parking,28305766,City Superhost,Manchester,City Centre,53.47781,-2.2469,Entire home/apt,130,1,104,2022-12-21,2.79,56,201,64,
40271025,Stylish & Spacious Home - near Manchester Airport,311081376,Adexy And Bank,Stockport,Stockport District,53.39248,-2.1921,Entire home/apt,229,2,19,2022-11-20,0.50,1,90,5,
